text_id,title,question_id,correct
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,1,B
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,2,B
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,3,B
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,4,B
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,5,B
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,6,B
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,7,B
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,8,A
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,9,B
7,Gekrümmte Raumzeit: Einsteins allgemeine Relativitätstheorie,10,B
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",1,B
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",2,B
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",3,B
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",4,B
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",5,B
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",6,A
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",7,A
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",8,B
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",9,A
8,"Geldpolitik, Inflation und die Rolle der Zentralbank",10,B
9,CRISPR: Präzise Eingriffe ins Erbgut,1,B
9,CRISPR: Präzise Eingriffe ins Erbgut,2,B
9,CRISPR: Präzise Eingriffe ins Erbgut,3,B
9,CRISPR: Präzise Eingriffe ins Erbgut,4,A
9,CRISPR: Präzise Eingriffe ins Erbgut,5,B
9,CRISPR: Präzise Eingriffe ins Erbgut,6,B
9,CRISPR: Präzise Eingriffe ins Erbgut,7,A
9,CRISPR: Präzise Eingriffe ins Erbgut,8,B
9,CRISPR: Präzise Eingriffe ins Erbgut,9,B
9,CRISPR: Präzise Eingriffe ins Erbgut,10,B
10,Das Anthropozän: Der Mensch als geologische Kraft,1,A
10,Das Anthropozän: Der Mensch als geologische Kraft,2,B
10,Das Anthropozän: Der Mensch als geologische Kraft,3,C
10,Das Anthropozän: Der Mensch als geologische Kraft,4,B
10,Das Anthropozän: Der Mensch als geologische Kraft,5,B
10,Das Anthropozän: Der Mensch als geologische Kraft,6,B
10,Das Anthropozän: Der Mensch als geologische Kraft,7,B
10,Das Anthropozän: Der Mensch als geologische Kraft,8,B
10,Das Anthropozän: Der Mensch als geologische Kraft,9,A
10,Das Anthropozän: Der Mensch als geologische Kraft,10,B
